university,version,attribute,count,nan_count,nan_perc
warwick,2024-05-20,link,342,0,0.0
warwick,2024-05-20,title,342,0,0.0
warwick,2024-05-20,study_level,342,0,0.0
warwick,2024-05-20,qualification,342,0,0.0
warwick,2024-05-20,university_title,342,0,0.0
warwick,2024-05-20,description,342,0,0.0
warwick,2024-05-20,about,342,0,0.0
warwick,2024-05-20,entry_requirements,342,0,0.0
warwick,2024-05-20,locations,342,0,0.0
warwick,2024-05-20,start_dates,342,0,0.0
warwick,2024-05-20,application_dates,342,0,0.0
warwick,2024-05-20,tuitions,342,0,0.0
warwick,2024-05-20,tuition__study_mode,1218,42,3.4482758620689653
warwick,2024-05-20,tuition__duration,1218,45,3.6945812807881775
warwick,2024-05-20,tuition__student_category,1218,103,8.456486042692939
warwick,2024-05-20,tuition__fee,1218,103,8.456486042692939
warwick,2024-05-20,language_requirements,331,11,3.216374269005848
warwick,2024-05-20,language_requirement__language,1136,0,0.0
warwick,2024-05-20,language_requirement__test,1136,0,0.0
warwick,2024-05-20,language_requirement__score,1136,0,0.0
warwick,2024-05-20,modules,213,129,37.719298245614034
warwick,2024-05-20,module__type,2140,0,0.0
warwick,2024-05-20,module__title,2140,0,0.0
warwick,2024-05-20,module__link,2140,2110,98.5981308411215
